STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,size_emp,Size classes in number of persons employed,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),indic_is,Information society indicator,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_OWNQ,ICT functions are only performed by own employees,PC_ENT,Percentage of enterprises,EL,Greece,2024,,10.12,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_OWNQ,ICT functions are only performed by own employees,PC_ENT,Percentage of enterprises,ES,Spain,2024,,11.46,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_OWNQ,ICT functions are only performed by own employees,PC_ENT,Percentage of enterprises,EU27_2020,European Union - 27 countries (from 2020),2024,,13.55,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_OWNQ,ICT functions are only performed by own employees,PC_ENT,Percentage of enterprises,FI,Finland,2024,,17.11,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_OWNQ,ICT functions are only performed by own employees,PC_ENT,Percentage of enterprises,FR,France,2024,,10.99,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_OWNQ,ICT functions are only performed by own employees,PC_ENT,Percentage of enterprises,HR,Croatia,2024,,16.72,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_OWNQ,ICT functions are only performed by own employees,PC_ENT,Percentage of enterprises,HU,Hungary,2024,,23.41,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_OWNQ,ICT functions are only performed by own employees,PC_ENT,Percentage of enterprises,IE,Ireland,2024,,25.80,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_OWNQ,ICT functions are only performed by own employees,PC_ENT,Percentage of enterprises,IT,Italy,2024,,6.35,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_OWNQ,ICT functions are only performed by own employees,PC_ENT,Percentage of enterprises,LT,Lithuania,2024,,9.19,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_OWNQ,ICT functions are only performed by own employees,PC_ENT,Percentage of enterprises,LU,Luxembourg,2024,,14.96,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_OWNQ,ICT functions are only performed by own employees,PC_ENT,Percentage of enterprises,LV,Latvia,2024,,34.55,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_OWNQ,ICT functions are only performed by own employees,PC_ENT,Percentage of enterprises,ME,Montenegro,2024,,22.06,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_OWNQ,ICT functions are only performed by own employees,PC_ENT,Percentage of enterprises,MT,Malta,2024,,11.34,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_OWNQ,ICT functions are only performed by own employees,PC_ENT,Percentage of enterprises,NL,Netherlands,2024,,11.91,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_OWNQ,ICT functions are only performed by own employees,PC_ENT,Percentage of enterprises,NO,Norway,2024,,9.58,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_OWNQ,ICT functions are only performed by own employees,PC_ENT,Percentage of enterprises,PL,Poland,2024,,15.72,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_OWNQ,ICT functions are only performed by own employees,PC_ENT,Percentage of enterprises,PT,Portugal,2024,,13.62,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_OWNQ,ICT functions are only performed by own employees,PC_ENT,Percentage of enterprises,RO,Romania,2024,,29.24,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_OWNQ,ICT functions are only performed by own employees,PC_ENT,Percentage of enterprises,RS,Serbia,2024,,22.31,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_OWNQ,ICT functions are only performed by own employees,PC_ENT,Percentage of enterprises,SE,Sweden,2024,,17.98,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_OWNQ,ICT functions are only performed by own employees,PC_ENT,Percentage of enterprises,SI,Slovenia,2024,,11.96,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_OWNQ,ICT functions are only performed by own employees,PC_ENT,Percentage of enterprises,SK,Slovakia,2024,,14.10,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_OWNQ,ICT functions are only performed by own employees,PC_ENT,Percentage of enterprises,TR,Türkiye,2024,,27.77,,,,,
